timestamp,informed_consent,k01_01,k01_02_i01,k01_02_i02,k01_02_i03,k01_02_i04,k01_02_i05,k01_02_i06,k01_02_i07,k01_02_i08,k01_02_i09,k02_01,k02_02,k02_03,k02_04,k02_05,k03_01,k03_02_i01,k03_02_i02,k03_02_i03,k03_02_i04,k03_02_i05,k03_02_i06,k03_02_i07,k03_02_i08,k03_02_i09,k03_02_i10,k03_02_i11,k03_02_i12,k03_02_i13,k03_02_i14,k03_02_i15,k03_02_i16,k03_02_i17,k03_02_i18,k03_02_i19,k03_02_i20,k03_03,k04_01_i01,k04_01_i02,k04_01_i03,k04_01_i04,k04_01_i05,k04_01_i06,k04_01_i07,k04_01_i08,k04_01_i09,k04_01_i10,k04_01_i11,k04_01_i12,k04_01_i13,k04_01_i14,k04_01_i15,k04_01_i16,k04_01_i17,k04_01_i18,k04_01_i19,k04_01_i20,k04_01_i21,k04_02_i01,k04_02_i02,k04_02_i03,k04_02_i04,k04_02_i05,k04_02_i06,k04_02_i07,k04_02_i08,k04_02_i09,k04_02_i10,k04_02_i11,k04_02_i12,k04_02_i13,k04_02_i14,k05_01_i01,k05_01_i02,k05_01_i03,k05_01_i04,k05_01_i05,k05_01_i06,k05_01_i07,k05_01_i08,k05_01_i09,k05_01_i10,k05_01_i11,k05_01_i12,k05_01_i13,k05_01_i14,k05_01_i15,k05_01_i16,k05_01_i17,k05_01_i18,k05_01_i19,k05_01_i20,k05_01_i21,k05_01_i22,k05_01_i23,k05_01_i24,k05_01_i25,k05_01_i26,k05_01_i27,k05_01_i28,k05_01_i29,k06_01_i01,k07_01,k07_02_i01,k07_02_i02,k07_02_i03,k07_03,k06_01_i02,k06_01_i03,k06_01_i04,k06_01_i05,k06_01_i06,k06_01_i07,k06_01_i08,k06_01_i09,k06_01_i10,k06_01_i11,k06_01_i12,k06_01_i13,k06_01_i14,k06_01_i15,k06_01_i16,k06_01_i17,k06_01_i18,k06_01_i19,k06_01_i20,k06_01_i21,k06_01_i22,file_path,k06_01_i23,condition,is_ai,is_responsibility,k02_03_num,k02_04_num,parents_education,parents_education_groups,k01_02_composite,k03_02_positive,k03_02_negative,k04_01_composite,k04_02_expertise,k04_02_integrity,k04_02_benevolence,k04_02_composite,k05_01_composite,k06_01_ease_of_use,k06_01_usefulness,k06_01_safety_risk,k06_01_privacy_risk,k06_01_trust,k06_01_attitude,k06_01_intention_to_use
2024-10-18T18:37:20Z,Igen,3,3,3,3,3,5,3,4,6,4,Female,Programtervező informatikus,University BA,University MA,Middle 40%,Hetente többször,4,5,4,5,4,4,5,5,5,4,4,5,3,2,3,3,2,2,5,4,4,2,2,4,3,2,4,4,4,4,4,4,3,4,2,2,4,3,3,3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,3,5,2,2,2,2,2,2,4,4,4,4,4,2,2,4,4,3,4,2,3,1,2,1,1,2,4,2,2,2,2,4,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",6,5,6,"Nem, körülbelül a kétharmadánál már abbahagytam a kérdések pontos értelmezését.",4,4,4,4,3,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,15,17,32,50% Median,34,49,24,68,25,16,16,57,0,16,17,8,6,12,12,12
2024-10-18T18:46:43Z,Igen,3,6,6,5,5,6,5,5,5,2,Female,Gyógypedagógia,Highschool,Highschool,Middle 40%,Hetente többször,2,4,3,4,3,4,4,2,4,3,2,2,3,3,2,2,1,3,4,4,4,5,4,4,2,3,4,4,4,5,5,5,4,3,5,4,5,4,3,4,4,4,2,6,5,2,5,4,2,6,5,6,4,5,4,4,3,3,4,4,2,2,2,3,3,4,4,3,2,3,4,5,3,3,3,2,2,2,2,3,4,2,3,3,2,5,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",7,7,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",3,4,5,5,5,3,4,5,4,3,2,3,3,3,3,5,4,5,5,5,4,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",3,0,0,0,12,12,24,25% Bottom,45,35,22,85,24,19,17,60,0,17,22,7,8,9,14,14
2024-10-18T19:36:42Z,Igen,1,6,5,6,6,6,6,5,6,5,Female,közösségszervezés,Highschool,Highschool,Middle 40%,Havonta kevesebb mint egyszer,1,3,2,3,2,2,3,4,4,3,2,3,3,2,3,3,2,2,4,3,4,3,2,4,2,2,3,4,1,4,4,4,3,2,5,3,4,5,2,2,2,5,6,5,6,6,5,5,6,6,6,5,6,7,6,6,4,2,4,2,3,4,4,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,2,3,3,4,4,4,5,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",5,5,5,"Igen, az elejétől a végéig sikerült koncentrálnom.",4,5,4,3,4,3,3,1,4,4,3,3,2,3,2,3,2,4,1,1,2,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",3,0,0,0,12,12,24,25% Bottom,51,28,22,66,33,23,25,81,0,18,14,8,9,7,9,4
2024-10-18T19:41:00Z,Igen,2,6,4,3,5,5,4,3,5,4,Female,Pszichológia,Highschool,University BA,Middle 40%,Naponta,4,4,3,4,3,3,4,4,4,2,4,3,2,3,2,3,3,3,3,1,4,3,2,4,4,4,4,5,4,4,3,4,4,4,4,4,4,3,2,3,3,5,7,7,7,6,7,7,7,6,7,5,6,6,7,7,2,3,4,3,3,4,3,4,4,4,3,2,4,2,3,4,3,5,5,3,4,3,2,3,5,4,2,2,3,3,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",4,6,6,"Igen, az elejétől a végéig sikerült koncentrálnom.",2,3,3,2,1,3,1,1,2,5,2,2,2,2,2,2,2,4,2,2,2,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,12,15,27,50% Median,39,38,20,77,41,25,26,92,0,11,8,7,6,6,8,6
2024-10-18T20:37:41Z,Igen,3,5,4,4,5,4,3,5,5,5,Female,logopédia MsC,PhD,Highschool,Top 30%,Hetente többször,2,4,2,5,2,4,2,2,5,2,2,2,3,4,2,4,3,3,2,4,4,4,4,4,4,2,5,4,2,4,4,5,4,2,5,4,3,5,4,4,4,4,4,4,3,3,3,3,3,4,3,4,3,3,3,4,2,3,2,3,2,2,2,3,3,3,3,1,2,4,2,4,4,3,3,3,2,3,2,4,4,2,3,2,1,2,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",6,6,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",2,3,1,4,3,3,1,4,4,4,2,3,2,3,4,2,3,3,4,1,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,21,12,33,25% Top,40,32,25,81,20,14,13,47,0,8,15,8,7,9,8,6
2024-10-18T20:38:18Z,Igen,1,6,4,1,5,7,7,5,7,6,Male,Programtervező informatikus,Highschool,Highschool,Middle 40%,Havonta egyszer,3,5,2,5,5,3,5,5,5,3,4,5,5,3,2,5,4,2,5,5,4,4,3,5,3,3,5,5,2,5,5,4,5,5,5,2,4,5,3,3,5,5,7,7,1,7,7,7,7,7,7,7,7,7,7,7,1,5,4,2,2,3,3,2,3,3,1,1,2,4,4,4,4,3,4,3,3,3,3,5,5,2,2,3,3,5,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",3,3,7,"Nem, körülbelül a kétharmadánál már abbahagytam a kérdések pontos értelmezését.",2,5,1,5,4,5,5,5,4,4,1,2,4,5,5,5,3,5,5,5,5,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",1,0,0,0,12,12,24,25% Bottom,48,45,31,86,36,28,28,92,0,13,24,8,4,14,13,15
2024-10-18T21:05:21Z,Igen,5,3,3,6,3,4,6,4,6,4,Male,Gazdálkodás és menedzsment,University BA,Highschool,Middle 40%,Hetente egyszer,4,2,4,5,3,4,4,2,3,3,3,4,4,2,3,4,4,4,5,3,4,3,3,2,5,4,3,3,5,4,3,4,4,2,2,3,3,4,4,3,3,4,4,5,6,3,4,5,3,3,5,4,4,4,4,3,3,4,2,3,3,2,2,3,1,2,2,3,2,3,3,4,3,2,2,3,2,3,2,2,3,4,2,3,2,3,"A kutatás azt vizsgálta, hogy a változókori táplálkozási szokások hogyan befolyásolják az egészségben eltöltött életévek számát.",6,5,4,"Nem, kb. a felénél abbahagytam a kérdések pontos értelmezését.",3,4,3,4,3,3,3,2,4,2,2,1,1,2,3,3,5,3,4,2,2,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,15,12,27,50% Median,39,39,29,71,27,15,15,57,0,13,15,6,5,6,11,8
2024-10-18T21:05:26Z,Igen,4,3,2,1,1,2,3,2,4,1,Female,pszichológia,PhD,PhD,Middle 40%,Havonta kevesebb mint egyszer,1,4,2,4,2,4,3,2,5,1,1,2,3,2,2,3,2,2,3,3,4,5,3,4,2,2,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,5,4,2,2,2,5,4,4,2,4,4,4,3,4,5,4,5,5,2,4,4,4,4,3,4,2,5,5,5,5,4,5,2,2,2,2,5,5,2,2,2,2,3,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",6,3,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",3,3,3,1,1,1,1,1,5,5,1,1,2,1,1,2,2,4,1,1,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,21,21,42,25% Top,19,29,20,76,19,15,15,49,0,12,5,10,4,4,8,3
2024-10-18T21:08:55Z,Igen,4,6,7,6,6,7,7,3,6,4,Female,holland,University BA,Elementary school,Top 30%,Hetente többször,1,4,4,5,4,4,5,5,5,3,3,5,4,3,3,5,4,3,5,3,4,5,4,4,4,4,5,4,5,4,5,5,3,3,5,4,4,5,3,5,3,5,5,6,5,5,4,5,6,4,5,4,4,6,6,5,2,5,2,2,2,2,3,4,3,3,2,4,3,5,4,4,5,3,4,2,1,2,3,4,3,4,4,4,4,2,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",6,6,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",2,3,1,1,3,2,1,2,5,5,5,4,1,1,1,1,1,2,1,1,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",4,0,0,0,15,8,23,25% Bottom,52,43,30,89,30,19,21,70,0,8,9,10,13,3,4,3
2024-10-18T21:28:32Z,Igen,4,3,5,5,5,3,5,5,3,5,Female,zenekultúra,Highschool,Highschool,Middle 40%,Havonta kevesebb mint egyszer,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,4,4,3,2,3,3,2,3,3,2,3,2,3,3,2,3,3,3,3,6,5,4,4,3,4,3,5,2,5,4,4,4,3,3,2,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,4,4,3,3,"A kutatás azt vizsgálta, hogy a változókori táplálkozási szokások hogyan befolyásolják az egészségben eltöltött életévek számát.",3,5,4,"Nem, körülbelül a kétharmadánál már abbahagytam a kérdések pontos értelmezését.",2,3,3,3,3,4,3,4,4,3,3,3,3,3,3,2,2,3,4,3,3,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",3,0,0,0,12,12,24,25% Bottom,39,33,24,59,25,14,17,56,0,11,17,7,9,9,7,10
2024-10-19T08:30:35Z,Igen,2,6,6,6,6,6,6,6,6,3,Male,Fizikus MSc,Highschool,University BA,Top 30%,Hetente többször,1,4,2,4,3,2,4,4,4,3,1,3,3,2,2,3,2,2,4,3,4,4,5,5,5,4,4,3,3,3,3,2,4,4,5,3,1,4,5,5,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,3,3,3,4,3,3,3,3,3,4,4,3,3,4,3,2,2,3,4,3,3,3,3,3,3,4,2,4,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",6,4,6,"Igen, az elejétől a végéig sikerült koncentrálnom.",3,4,4,4,3,4,2,4,4,4,4,4,3,3,3,3,3,4,2,2,2,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",4,0,0,0,12,15,27,50% Median,51,31,21,80,36,24,24,84,0,15,17,8,12,9,10,6
2024-10-19T09:38:35Z,Igen,4,7,5,5,5,4,5,5,7,5,Female,Pszichológia,University MA,PhD,Middle 40%,Havonta kevesebb mint egyszer,4,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,5,4,4,5,5,4,5,5,5,4,5,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,3,3,4,4,2,4,4,2,4,2,4,4,4,4,5,5,4,2,4,2,3,4,2,2,2,2,4,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",7,7,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",2,4,3,4,2,4,4,4,2,4,2,2,3,3,4,4,4,4,4,2,2,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,17,21,38,25% Top,48,40,32,94,30,20,20,70,0,13,18,6,6,10,12,8
2024-10-19T09:54:19Z,Igen,5,7,6,6,6,7,6,6,6,6,Female,gyógypedagógia,University BA,University BA,Middle 40%,Hetente egyszer,1,4,2,4,2,4,4,2,4,3,2,2,4,3,2,4,3,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",7,7,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",3,4,4,1,4,3,2,4,2,4,3,3,3,3,3,3,3,4,1,1,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,15,15,30,50% Median,56,32,28,87,42,28,28,98,0,14,14,6,8,9,10,3
